path,recommendation,reasons
/home/uday/Downloads/pragati_ros2/docs/OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/CLEANUP_PHASE2_SUMMARY.md,UPDATE,has_broken_links;references_archived
/home/uday/Downloads/pragati_ros2/docs/TODO_MASTER.md,CONSOLIDATE,duplicate_topic:master-todo
/home/uday/Downloads/pragati_ros2/docs/CPP_USAGE_GUIDE.md,UPDATE,stale_before_2025-10-15
/home/uday/Downloads/pragati_ros2/docs/STATUS_REALITY_MATRIX.md,CONSOLIDATE,duplicate_topic:matrix-reality-status
/home/uday/Downloads/pragati_ros2/docs/USB2_CONFIGURATION_GUIDE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/TESTING_AND_VALIDATION_PLAN.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,UPDATE,has_broken_links;references_archived
/home/uday/Downloads/pragati_ros2/docs/CONSOLIDATION_SUMMARY.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/SAFETY_MONITOR_EXPLANATION.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/START_HERE.md,KEEP,references_archived
/home/uday/Downloads/pragati_ros2/docs/CONSOLIDATED_ROADMAP.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/PRODUCTION_READINESS_GAP.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/ROS2_INTERFACE_SPECIFICATION.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/TODO_MASTER_CONSOLIDATED.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,CONSOLIDATE,duplicate_topic:index;has_broken_links;references_archived
/home/uday/Downloads/pragati_ros2/docs/CONSOLIDATION_LOG.md,UPDATE,has_broken_links;references_archived
/home/uday/Downloads/pragati_ros2/docs/ROLLOUT_AND_RISK_MANAGEMENT.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/HARDWARE_TEST_CHECKLIST.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/README.md,CONSOLIDATE,duplicate_topic:readme
/home/uday/Downloads/pragati_ros2/docs/BUILD_OPTIMIZATION_GUIDE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/CPP_VS_PYTHON_RECOMMENDATION.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/THREE_MOTOR_SETUP_GUIDE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/OAK_D_LITE_MIGRATION_ANALYSIS.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/CLEANUP_ROUND3_SUMMARY_2025-10-16.md,UPDATE,has_broken_links;references_archived
/home/uday/Downloads/pragati_ros2/docs/MASTER_MIGRATION_STRATEGY.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/YOLO_MODELS.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/ODRIVE_TO_MG6010_MIGRATION_GUIDE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/param_inventory.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/CALIBRATION_GUIDE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/status/SW_SPRINT_STATUS.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/status/PROGRESS_2025-10-21.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,UPDATE,has_broken_links;references_archived
/home/uday/Downloads/pragati_ros2/docs/status/SW_SPRINT_FINAL_REPORT.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/status/SPRINT_COMPLETE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/archive/MG6010_CAN_SETUP_DIAGNOSIS.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,CONSOLIDATE,duplicate_topic:index;has_broken_links;references_archived
/home/uday/Downloads/pragati_ros2/docs/archive/MG6010_THREE_MOTOR_DEEP_DIVE_REPORT.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/project-management/REORGANIZATION_PROGRESS.md,CONSOLIDATE,duplicate_topic:progress-reorganization
/home/uday/Downloads/pragati_ros2/docs/project-management/GAP_ANALYSIS_OCT2025.md,CONSOLIDATE,duplicate_topic:analysis-gap-oct
/home/uday/Downloads/pragati_ros2/docs/project-management/REMAINING_TASKS.md,CONSOLIDATE,duplicate_topic:remaining-tasks
/home/uday/Downloads/pragati_ros2/docs/project-management/DOCUMENTATION_REORGANIZATION_PLAN.md,CONSOLIDATE,duplicate_topic:documentation-plan-reorganization;has_broken_links
/home/uday/Downloads/pragati_ros2/docs/project-management/COMPLETION_CHECKLIST.md,CONSOLIDATE,duplicate_topic:checklist-completion
/home/uday/Downloads/pragati_ros2/docs/project-management/IMPLEMENTATION_PLAN_OCT2025.md,CONSOLIDATE,duplicate_topic:implementation-oct-plan
/home/uday/Downloads/pragati_ros2/docs/enhancements/PHASE_2_ROADMAP.md,CONSOLIDATE,duplicate_topic:2-phase-roadmap;has_broken_links
/home/uday/Downloads/pragati_ros2/docs/enhancements/WEB_DASHBOARD_ENHANCEMENT_PLAN.md,CONSOLIDATE,duplicate_topic:dashboard-enhancement-plan-web
/home/uday/Downloads/pragati_ros2/docs/robot_description/CHANGELOG.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/production-system/09-OPERATOR_GUIDE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/production-system/08-CONFIGURATION.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/production-system/07-SAFETY_SYSTEMS.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/production-system/01-SYSTEM_OVERVIEW.md,CONSOLIDATE,duplicate_topic:overview-system
/home/uday/Downloads/pragati_ros2/docs/production-system/03-COTTON_DETECTION.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/production-system/02-HARDWARE_ARCHITECTURE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/production-system/06-REALTIME_CONTROL.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/maintenance/DOC_MAINTENANCE_POLICY.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/guides/QUICK_REFERENCE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/guides/UNIT_TEST_GUIDE.md,UPDATE,has_broken_links
/home/uday/Downloads/pragati_ros2/docs/guides/QUICK_START_continuous_operation.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/guides/PERFORMANCE_CHECKLIST.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/guides/GAPS_AND_ACTION_PLAN.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/guides/CAMERA_INTEGRATION_GUIDE.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/guides/TROUBLESHOOTING.md,UPDATE,has_broken_links
/home/uday/Downloads/pragati_ros2/docs/guides/AUTOMATION_SETUP.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/guides/FINAL_FIX_continuous_operation.md,KEEP,
/home/uday/Downloads/pragati_ros2/docs/guides/RASPBERRY_PI_DEPLOYMENT_GUIDE.md,KEEP,
