from_file,line,link_snippet,resolved_target
/home/uday/Downloads/pragati_ros2/docs/CLEANUP_PHASE2_SUMMARY.md,276,[docs/archive/2025-10/moves_2025-10-phase2.csv](archive/2025-10/moves_2025-10-phase2.csv),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/moves_2025-10-phase2.csv
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,116,[README.md](../README.md),/home/uday/Downloads/pragati_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,161,[../README.md](../README.md),/home/uday/Downloads/pragati_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,164,[scripts/test_integration.sh](scripts/test_integration.sh),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-21/scripts/test_integration.sh
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,165,[guides/](guides/),/home/uday/Downloads/pragati_ros2/docs/guides
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,166,[archive/](archive/),/home/uday/Downloads/pragati_ros2/docs/archive
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,18,[`../README.md`](../README.md),/home/uday/Downloads/pragati_ros2/README.md
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,42,[`guides/RESTORATION_NEXT_STEPS.md`](guides/RESTORATION_NEXT_STEPS.md),/home/uday/Downloads/pragati_ros2/docs/guides/RESTORATION_NEXT_STEPS.md
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,43,[`guides/CLEANUP_AND_MAINTENANCE_PLAN.md`](guides/CLEANUP_AND_MAINTENANCE_PLAN.md),/home/uday/Downloads/pragati_ros2/docs/guides/CLEANUP_AND_MAINTENANCE_PLAN.md
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,52,[`validation/HARDWARE_TEST_RESULTS.md`](validation/HARDWARE_TEST_RESULTS.md),/home/uday/Downloads/pragati_ros2/docs/validation/HARDWARE_TEST_RESULTS.md
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,67,[`archive/2025-10/consolidation-meta/`](archive/2025-10/consolidation-meta/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,68,[`archive/2025-10/completion-reports/`](archive/2025-10/completion-reports/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,69,[`archive/2025-10/session-summaries/`](archive/2025-10/session-summaries/),/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/session-summaries
