path,first_heading,last_updated,status,redirect_note
/home/uday/Downloads/pragati_ros2/docs/OAK_D_LITE_HYBRID_MIGRATION_PLAN.md,# OAK-D Lite Hybrid Migration Plan: Preserving ROS2 Enhancements,,,
/home/uday/Downloads/pragati_ros2/docs/CLEANUP_PHASE2_SUMMARY.md,# Documentation Cleanup Phase 2 - Summary,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/TODO_MASTER.md,# TODO Master List - Pragati ROS2 Project,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/CPP_USAGE_GUIDE.md,# Cotton Detection C++ Node - Usage Guide,2025-10-08,,
/home/uday/Downloads/pragati_ros2/docs/STATUS_REALITY_MATRIX.md,# Pragati ROS2 Status Reality Matrix,,,
/home/uday/Downloads/pragati_ros2/docs/USB2_CONFIGURATION_GUIDE.md,# USB2 Mode Configuration and Validation Guide,,,
/home/uday/Downloads/pragati_ros2/docs/TESTING_AND_VALIDATION_PLAN.md,# Testing and Validation Plan - OAK-D Lite Cotton Detection System,,,
/home/uday/Downloads/pragati_ros2/docs/DOCUMENTATION_ORGANIZATION.md,# Documentation Organization - Complete,,,
/home/uday/Downloads/pragati_ros2/docs/CONSOLIDATION_SUMMARY.md,# Documentation Consolidation Summary,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/SAFETY_MONITOR_EXPLANATION.md,# SafetyMonitor - What It Does and Why It's Critical,,,
/home/uday/Downloads/pragati_ros2/docs/START_HERE.md,# Pragati ROS2 Documentation - Start Here 🚀,,,
/home/uday/Downloads/pragati_ros2/docs/CONSOLIDATED_ROADMAP.md,# Pragati ROS2 Consolidated Roadmap,,,
/home/uday/Downloads/pragati_ros2/docs/PRODUCTION_READINESS_GAP.md,# Production Readiness Gap Analysis,,,
/home/uday/Downloads/pragati_ros2/docs/ROS2_INTERFACE_SPECIFICATION.md,# ROS2 Interface Specification — `cotton_detection_ros2`,,,
/home/uday/Downloads/pragati_ros2/docs/TODO_MASTER_CONSOLIDATED.md,# TODO Master List - Consolidated,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/INDEX.md,# Pragati ROS2 Documentation Index,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/CONSOLIDATION_LOG.md,# Documentation Consolidation Log,,,
/home/uday/Downloads/pragati_ros2/docs/ROLLOUT_AND_RISK_MANAGEMENT.md,# Rollout Strategy and Risk Management,,,
/home/uday/Downloads/pragati_ros2/docs/HARDWARE_TEST_CHECKLIST.md,# Hardware Test Checklist - OAK-D Lite Cotton Detection,,,
/home/uday/Downloads/pragati_ros2/docs/README.md,# Pragati Production System Documentation,,,
/home/uday/Downloads/pragati_ros2/docs/BUILD_OPTIMIZATION_GUIDE.md,# Build Optimization Guide,,,
/home/uday/Downloads/pragati_ros2/docs/CPP_VS_PYTHON_RECOMMENDATION.md,# C++ vs Python Implementation - Technical Assessment & Recommendation,,,
/home/uday/Downloads/pragati_ros2/docs/THREE_MOTOR_SETUP_GUIDE.md,# Three Motor Setup Guide - MG6010 Integration,,,
/home/uday/Downloads/pragati_ros2/docs/OAK_D_LITE_MIGRATION_ANALYSIS.md,# OAK-D Lite Camera Migration Analysis: ROS1 to ROS2,,,
/home/uday/Downloads/pragati_ros2/docs/CLEANUP_ROUND3_SUMMARY_2025-10-16.md,# Documentation Cleanup Round 3 - Content-Based Cleanup,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/MASTER_MIGRATION_STRATEGY.md,# Master Migration Strategy: OAK-D Lite Integration,,,
/home/uday/Downloads/pragati_ros2/docs/YOLO_MODELS.md,# YOLO Model Blobs for Cotton Detection,,,
/home/uday/Downloads/pragati_ros2/docs/ODRIVE_TO_MG6010_MIGRATION_GUIDE.md,# ODrive to MG6010-i6 Migration Guide,,,
/home/uday/Downloads/pragati_ros2/docs/param_inventory.md,# Parameter Inventory and Baseline Report,,,
/home/uday/Downloads/pragati_ros2/docs/CALIBRATION_GUIDE.md,# Pragati Robot Calibration Guide,,,
/home/uday/Downloads/pragati_ros2/docs/status/SW_SPRINT_STATUS.md,# Software-Only Sprint Status,,,
/home/uday/Downloads/pragati_ros2/docs/status/PROGRESS_2025-10-21.md,# Progress Summary - October 21  2025,,,
/home/uday/Downloads/pragati_ros2/docs/status/STATUS_TRACKER.md,# Pragati ROS2 - Project Status Tracker,,,
/home/uday/Downloads/pragati_ros2/docs/status/SW_SPRINT_FINAL_REPORT.md,# Software Sprint Final Report,,,
/home/uday/Downloads/pragati_ros2/docs/status/SPRINT_COMPLETE.md,# Software-Only Sprint - COMPLETE ✅,,,
/home/uday/Downloads/pragati_ros2/docs/archive/MG6010_CAN_SETUP_DIAGNOSIS.md,# MG6010 Motor CAN Communication - Complete Diagnosis,,,
/home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md,# Documentation Archive - Master Index,,,
/home/uday/Downloads/pragati_ros2/docs/archive/MG6010_THREE_MOTOR_DEEP_DIVE_REPORT.md,# MG6010 Three-Motor Control - Comprehensive Deep Dive Report,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ROS1_SCRIPT_VERIFICATION_REPORT.md,# ROS1 Script Verification Report,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/CROSS_REFERENCE_ANALYSIS.md,# Cross-Reference Matrix Analysis,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/VERIFICATION_TRACEABILITY_MATRIX.md,# Verification Traceability Matrix (VTM),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/COMPREHENSIVE_DOC_ANALYSIS_2025-10-07.md,# Comprehensive Documentation Analysis & Consolidation Plan,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/SCRIPTS_CONSOLIDATION_ANALYSIS.md,# Scripts Consolidation Analysis,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/DATA_FOLDERS_CONSOLIDATION_PLAN.md,# Data Folders Consolidation Plan,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/TASK_COMPARISON_PYTHON_VS_CPP.md,# Task Comparison: Python Wrapper Review vs C++ Implementation Roadmap,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/COTTON_DETECTION_SENIOR_CODE_REVIEW.md,# Cotton Detection Module - Senior-Level Code Review,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/STATUS_CLAIMS_EXTRACTION.md,# Status Claims Extraction & Normalization,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/PRIMARY_VS_GENERATED_CROSSCHECK.md,# Primary vs Generated Documents Cross-Check,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/DEEP_DIVE_CODE_REVIEW.md,# Deep Dive Code Review - OAK-D Lite Cotton Detection System,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/SECOND_DEEP_DIVE_REVIEW.md,# Second Deep Dive Review - OAK-D Cotton Detection Module,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/OTHER_MODULES_ANALYSIS.md,# Other Modules Deep-Dive Analysis (Tasks 8-11),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/FINAL_PERCENTAGES_AND_GAPS.md,# Final Completion Percentages and Documentation Gaps (Tasks 12-13),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/CPP_NODE_COMPREHENSIVE_REVIEW_AND_TASKS.md,# C++ Cotton Detection Node - Comprehensive Review & Task List,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/COTTON_DETECTION_DEEP_DIVE.md,# Cotton Detection Module Deep-Dive Analysis,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/threading_performance_assessment.md,# Threading  Executors  and Real-time Performance Assessment,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/hardware_interface_comparison.md,# Hardware Interface Comparison (ROS1 vs ROS2) - Critical Configuration Gap Analysis,,FLAGGED,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/detection_comparison.md,# Cotton Detection System Comparison (ROS1 vs ROS2),,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/ros1_vs_ros2_comprehensive_analysis.md,# PRAGATI COTTON PICKING ROBOT: ROS1 vs ROS2 COMPREHENSIVE COMPARISON & VALIDATION,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/FINAL_REPORT.md,# ROS-1 vs ROS-2 Migration Analysis: Final Report,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/config_management_comparison.md,# Configuration Management Comparison Report,,,
/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/architecture_comparison.md,# ROS1 vs ROS2 Architecture Comparison - Pragati Cotton Picking Robot,,,
