normalized_key,files
master-todo,/home/uday/Downloads/pragati_ros2/docs/TODO_MASTER.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/TODO_MASTER.md
matrix-reality-status,/home/uday/Downloads/pragati_ros2/docs/STATUS_REALITY_MATRIX.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/STATUS_REALITY_MATRIX.md
index,/home/uday/Downloads/pragati_ros2/docs/INDEX.md | /home/uday/Downloads/pragati_ros2/docs/archive/INDEX.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/INDEX.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/INDEX.md
readme,/home/uday/Downloads/pragati_ros2/docs/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-analysis/ros1_vs_ros2_comparison/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/completion-reports/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/stakeholder-docs/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/generated-reports/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/superseded/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/execution-plans/README.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/session-summaries/README.md
progress-reorganization,/home/uday/Downloads/pragati_ros2/docs/project-management/REORGANIZATION_PROGRESS.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/REORGANIZATION_PROGRESS.md
analysis-gap-oct,/home/uday/Downloads/pragati_ros2/docs/project-management/GAP_ANALYSIS_OCT2025.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/GAP_ANALYSIS_OCT2025.md
documentation-plan-reorganization,/home/uday/Downloads/pragati_ros2/docs/project-management/DOCUMENTATION_REORGANIZATION_PLAN.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/originals/project-management/DOCUMENTATION_REORGANIZATION_PLAN.md
completed-todos,/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-15/todos_completed.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/todos_completed.md
audit-completion-summary,/home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-14/AUDIT_COMPLETION_SUMMARY.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10-audit/2025-10-07/AUDIT_COMPLETION_SUMMARY.md
consolidation-documentation-plan,/home/uday/Downloads/pragati_ros2/docs/archive/2025-10/motor_control/DOCUMENTATION_CONSOLIDATION_PLAN.md | /home/uday/Downloads/pragati_ros2/docs/archive/2025-10/consolidation-meta/DOCUMENTATION_CONSOLIDATION_PLAN_2025-10-15.md
