Package                              Version
------------------------------------ --------------
action-msgs                          2.0.3
action-tutorials-interfaces          0.33.7
action-tutorials-py                  0.33.7
actionlib-msgs                       5.3.6
AHRS                                 0.3.1
ament-cmake-test                     2.5.4
ament-copyright                      0.17.3
ament-cppcheck                       0.17.3
ament-cpplint                        0.17.3
ament-flake8                         0.17.3
ament-index-python                   1.8.1
ament-lint                           0.17.3
ament-lint-cmake                     0.17.3
ament-package                        0.16.4
ament-pep257                         0.17.3
ament-uncrustify                     0.17.3
ament-xmllint                        0.17.3
angles                               1.16.1
appdirs                              1.4.4
argcomplete                          3.1.4
argparse-addons                      0.12.0
async-generator                      1.10
attrs                                23.2.0
Babel                                2.10.3
bcrypt                               3.2.2
beautifulsoup4                       4.12.3
bitstruct                            8.21.0
blinker                              1.9.0
blobconverter                        1.4.3
Brlapi                               0.8.5
Brotli                               1.1.0
builtin-interfaces                   2.0.3
camera-calibration                   5.0.11
cantools                             41.0.2
catkin-pkg                           1.1.0
catkin-pkg-modules                   1.1.0
certifi                              2023.11.17
chardet                              5.2.0
click                                8.1.6
cloud-init                           25.2
colcon-argcomplete                   0.3.3
colcon-bash                          0.5.0
colcon-cd                            0.2.1
colcon-cmake                         0.2.29
colcon-common-extensions             0.3.0
colcon-core                          0.20.1
colcon-defaults                      0.2.9
colcon-devtools                      0.3.0
colcon-installed-package-information 0.2.1
colcon-library-path                  0.2.1
colcon-metadata                      0.2.5
colcon-mixin                         0.2.3
colcon-notification                  0.3.0
colcon-output                        0.2.13
colcon-override-check                0.0.1
colcon-package-information           0.4.0
colcon-package-selection             0.2.10
colcon-parallel-executor             0.3.0
colcon-pkg-config                    0.1.0
colcon-powershell                    0.4.0
colcon-python-setup-py               0.2.9
colcon-recursive-crawl               0.2.3
colcon-ros                           0.5.0
colcon-test-result                   0.3.8
colcon-zsh                           0.5.0
colorama                             0.4.6
coloredlogs                          15.0.1
command-not-found                    0.3
common-utils                         1.0.0
composition-interfaces               2.0.3
configobj                            5.0.8
contourpy                            1.0.7
control-msgs                         5.5.0
controller-manager                   4.39.2
controller-manager-msgs              4.39.2
cotton-detection-ros2                2.0.0
coverage                             7.4.4
crccheck                             1.3.1
cryptography                         41.0.7
cssselect                            1.2.0
cupshelpers                          1.0
cv-bridge                            4.1.0
cycler                               0.11.0
dbus-python                          1.3.2
decorator                            5.1.1
defer                                1.0.6
demo-nodes-py                        0.33.7
Deprecated                           1.2.14
depthai                              2.30.0.0
depthai-pipeline-graph               0.0.5
depthai-ros-driver                   2.11.2
depthai-ros-msgs                     2.11.2
depthai-sdk                          1.15.1
diagnostic-msgs                      5.3.6
diagnostic-updater                   4.2.6
diskcache                            5.6.3
distlib                              0.3.8
distro                               1.9.0
distro-info                          1.7+build1
docutils                             0.20.1
domain-coordinator                   0.12.0
duplicity                            2.1.4
empy                                 3.3.4
example-interfaces                   0.12.0
examples-rclpy-executors             0.19.7
examples-rclpy-minimal-action-client 0.19.7
examples-rclpy-minimal-action-server 0.19.7
examples-rclpy-minimal-client        0.19.7
examples-rclpy-minimal-publisher     0.19.7
examples-rclpy-minimal-service       0.19.7
examples-rclpy-minimal-subscriber    0.19.7
fasteners                            0.18
ffmpeg-image-transport-msgs          1.0.2
filelock                             3.13.1
flake8                               7.0.0
flake8-builtins                      2.1.0
flake8-comprehensions                3.14.0
flake8-docstrings                    1.6.0
flake8-import-order                  0.18.2
flake8-quotes                        3.4.0
Flask                                3.1.2
flask-cors                           6.0.1
fonttools                            4.46.0
foxglove-msgs                        3.2.2
fs                                   2.4.16
generate-parameter-library-py        0.5.0
geometry-msgs                        5.3.6
html5lib                             1.1
httplib2                             0.20.4
humanfriendly                        10.0
idna                                 3.6
image-geometry                       4.1.0
importlib-metadata                   4.12.0
iniconfig                            1.1.1
interactive-markers                  2.5.5
itsdangerous                         2.2.0
Jinja2                               3.1.2
joint-state-publisher                2.4.0
joint-state-publisher-gui            2.4.0
jsonpatch                            1.32
jsonpointer                          2.0
jsonschema                           4.10.3
kiwisolver                           0.0.0
language-selector                    0.1
lark                                 1.1.9
laser-geometry                       2.7.2
launch                               3.4.9
launch-ros                           0.26.10
launch-testing                       3.4.9
launch-testing-ros                   0.26.10
launch-xml                           3.4.9
launch-yaml                          3.4.9
launchpadlib                         1.11.0
lazr.restfulclient                   0.14.6
lazr.uri                             1.0.6
lifecycle-msgs                       2.0.3
logging-demo                         0.33.7
louis                                3.29.0
lxml                                 5.2.1
lz4                                  4.0.2+dfsg
Mako                                 1.3.2.dev0
